enquiry_id,enquiry_date,planning_area,lead_source,storage_size_band,customer_type,quoted_monthly_price_sgd,converted,churned
ENQ-00147,2025-09-05,Orchard,Walk-in,Medium,Household,289.52,0,0
ENQ-00148,2025-11-09,Kallang,Google Search,Small,Relocation,194.63,1,0
ENQ-00149,2025-12-11,Bukit Timah,Google Search,Large,Relocation,416.53,0,0
ENQ-00150,2025-03-27,Choa Chu Kang,Google Search,Medium,SME,323.36,0,0
ENQ-00151,2025-06-26,Serangoon,Organic,Medium,Household,296.14,1,0
ENQ-00152,2025-02-26,North-Eastern Islands,Organic,Medium,Household,308.2,0,0
ENQ-00153,2025-10-21,Tuas,Google Search,Medium,Household,318.01,1,0
ENQ-00154,2025-06-03,Sembawang,Referral,Small,E-commerce,171.22,0,0
ENQ-00155,2025-09-27,Yishun,Walk-in,Small,Household,196.74,1,1
ENQ-00156,2025-02-13,Bishan,Google Search,Small,SME,191.56,0,0
ENQ-00157,2025-07-16,Queenstown,Referral,Large,Household,447.02,0,0
ENQ-00158,2025-03-13,Sengkang,Walk-in,Medium,Household,299.64,1,0
ENQ-00159,2025-09-20,Jurong East,Walk-in,Medium,Household,273.24,0,0
ENQ-00160,2025-04-11,Clementi,Organic,Medium,Student/Expats,318.9,0,0
ENQ-00161,2025-01-12,Downtown Core,Walk-in,Medium,Household,296.19,1,0
ENQ-00162,2025-09-17,Museum,Partner,Large,Relocation,428.93,0,0
ENQ-00163,2025-10-08,Bukit Batok,Organic,Medium,Household,331.58,0,0
ENQ-00164,2025-05-14,Southern Islands,Referral,Medium,Household,320.57,0,0
ENQ-00165,2025-05-11,Museum,Google Search,Medium,SME,269.19,1,0
ENQ-00166,2025-06-29,Marina South,Google Search,Large,E-commerce,484.58,0,0
ENQ-00167,2025-11-21,Pasir Ris,Google Search,Medium,Student/Expats,263.26,0,0
ENQ-00168,2025-09-05,Marina South,Meta Ads,Locker,Household,86.11,0,0
ENQ-00169,2025-01-04,Bishan,Organic,Medium,Household,265.97,0,0
ENQ-00170,2025-05-22,Boon Lay,Meta Ads,Large,Household,420.8,0,0
ENQ-00171,2025-09-08,Bukit Panjang,Organic,Locker,Household,89.54,0,0
ENQ-00172,2025-05-27,Marina South,Organic,Large,Household,418.83,0,0
ENQ-00173,2025-05-30,Singapore River,Walk-in,Medium,Household,315.66,0,1
ENQ-00174,2025-07-25,Choa Chu Kang,Meta Ads,Medium,Household,281.41,0,0
ENQ-00175,2025-11-13,Southern Islands,Google Search,Locker,Household,93.76,0,0
ENQ-00176,2025-08-15,Tengah,Partner,Small,E-commerce,164.9,0,0
ENQ-00177,2025-03-27,Changi,Google Search,Large,Household,441.54,0,0
ENQ-00178,2025-09-24,Marina South,Referral,Large,Student/Expats,421.32,0,0
ENQ-00179,2025-07-20,Newton,Meta Ads,Large,SME,515.08,0,0
ENQ-00180,2025-11-28,Changi Bay,Google Search,Large,Household,453.19,1,0
ENQ-00181,2025-11-03,Sengkang,Partner,Small,E-commerce,192.44,1,0
ENQ-00182,2025-03-08,Jurong East,Partner,Medium,Relocation,314.91,0,0
ENQ-00183,2025-08-02,Bukit Panjang,Referral,Small,Household,164.05,1,0
ENQ-00184,2025-04-03,Ang Mo Kio,Referral,Small,SME,182.14,0,0
ENQ-00185,2025-02-18,Southern Islands,Google Search,Locker,Household,83.43,0,0
ENQ-00186,2025-07-11,Central Water Catchment,Walk-in,Small,Household,179.87,1,0
ENQ-00187,2025-10-04,Tampines,Meta Ads,Small,SME,184.21,0,0
ENQ-00188,2025-05-07,Jurong West,Organic,Small,Household,180.5,0,0
ENQ-00189,2025-08-28,Jurong East,Walk-in,Small,E-commerce,194.46,0,1
ENQ-00190,2025-08-03,Rochor,Google Search,Locker,Student/Expats,95.97,0,0
ENQ-00191,2025-05-27,Straits View,Walk-in,Medium,SME,290.31,0,0
ENQ-00192,2025-10-12,Bedok,Partner,Medium,Household,261.73,0,0
ENQ-00193,2025-01-28,Pioneer,Meta Ads,Locker,SME,92.92,0,0
ENQ-00194,2025-03-22,Bedok,Organic,Medium,SME,267.12,0,0
ENQ-00195,2025-05-07,Central Water Catchment,Partner,Small,E-commerce,200.05,0,0
ENQ-00196,2025-03-14,Marina South,Organic,Small,E-commerce,197.93,0,0
ENQ-00197,2025-02-10,Marine Parade,Partner,Small,Household,178.7,0,0
ENQ-00198,2025-06-16,Newton,Partner,Small,Household,164.02,0,0
ENQ-00199,2025-06-06,Queenstown,Google Search,Small,Household,179.36,0,0
ENQ-00200,2025-10-21,Central Water Catchment,Meta Ads,Medium,SME,303.07,0,0
ENQ-00201,2025-12-31,Central Water Catchment,Walk-in,Large,Household,475.17,1,1
ENQ-00202,2025-12-29,Changi,Google Search,Small,Household,196.03,0,0
ENQ-00203,2025-05-02,Straits View,Organic,Locker,Relocation,100.99,0,0
ENQ-00204,2025-10-12,Central Water Catchment,Organic,Small,Relocation,179.35,0,0
ENQ-00205,2025-11-01,Straits View,Google Search,Small,Household,199.73,0,0
ENQ-00206,2025-02-20,Seletar,Partner,Locker,SME,86.29,0,0
ENQ-00207,2025-04-02,Ang Mo Kio,Google Search,Medium,Relocation,320.21,1,0
ENQ-00208,2025-09-09,Marina South,Meta Ads,Small,Household,182.77,0,0
ENQ-00209,2025-05-25,Bukit Merah,Google Search,Medium,Student/Expats,303.99,0,0
ENQ-00210,2025-05-20,Changi Bay,Referral,Locker,E-commerce,82.3,0,0
ENQ-00211,2025-03-11,Jurong East,Walk-in,Locker,Household,91.88,0,0
ENQ-00212,2025-04-12,Marina East,Organic,Small,SME,189.26,0,0
ENQ-00213,2025-06-28,Pasir Ris,Organic,Large,Household,483.24,0,0
ENQ-00214,2025-02-17,Marina South,Google Search,Large,Household,487.62,0,0
ENQ-00215,2025-11-19,Southern Islands,Partner,Small,SME,203.69,1,0
ENQ-00216,2025-08-02,Outram,Google Search,Medium,SME,282.71,0,0
ENQ-00217,2025-02-04,Tampines,Google Search,Small,Relocation,206.9,0,0
ENQ-00218,2025-01-30,Choa Chu Kang,Meta Ads,Locker,E-commerce,97.66,0,0
ENQ-00219,2025-07-07,Bukit Merah,Meta Ads,Medium,E-commerce,305.49,1,0
ENQ-00220,2025-09-17,Changi,Organic,Small,Household,166.99,0,0
ENQ-00221,2025-02-14,Museum,Organic,Large,SME,422.84,0,0
ENQ-00222,2025-12-24,Novena,Organic,Locker,Household,87.64,0,0
ENQ-00223,2025-08-03,Clementi,Walk-in,Large,Household,450.97,0,0
ENQ-00224,2025-06-07,Sungei Kadut,Organic,Large,SME,488.5,1,0
ENQ-00225,2025-02-01,Singapore River,Partner,Small,SME,165.23,0,0
ENQ-00226,2025-02-22,Yishun,Referral,Medium,SME,271.36,0,0
ENQ-00227,2025-10-17,River Valley,Google Search,Locker,SME,97.84,0,1
ENQ-00228,2025-06-03,Outram,Walk-in,Medium,SME,303.29,0,0
ENQ-00229,2025-11-16,Simpang,Organic,Small,Household,174.17,0,0
ENQ-00230,2025-12-04,Marina East,Walk-in,Large,Household,457.39,0,0
ENQ-00231,2025-08-06,Singapore River,Meta Ads,Medium,Relocation,310.0,0,0
ENQ-00232,2025-01-13,Lim Chu Kang,Google Search,Small,Household,192.42,0,0
ENQ-00233,2025-07-30,Sembawang,Organic,Medium,Household,330.37,0,0
ENQ-00234,2025-05-26,Changi Bay,Google Search,Medium,E-commerce,323.27,1,0
ENQ-00235,2025-01-31,Marina East,Meta Ads,Medium,Household,313.96,0,0
ENQ-00236,2025-06-22,Singapore River,Walk-in,Locker,Household,83.83,0,0
ENQ-00237,2025-05-29,Simpang,Referral,Medium,Household,267.19,1,0
ENQ-00238,2025-04-28,Central Water Catchment,Google Search,Medium,SME,310.88,1,0
ENQ-00239,2025-12-03,Bedok,Referral,Locker,Household,90.1,0,0
ENQ-00240,2025-01-29,Tampines,Referral,Small,Relocation,192.49,0,0
ENQ-00241,2025-04-14,Changi Bay,Referral,Locker,Student/Expats,82.72,0,0
ENQ-00242,2025-05-14,Straits View,Organic,Small,Household,195.26,0,0
ENQ-00243,2025-01-16,Jurong East,Referral,Medium,SME,324.75,0,0
ENQ-00244,2025-08-13,Clementi,Google Search,Medium,Household,272.04,0,0
ENQ-00245,2025-04-08,Outram,Google Search,Medium,Household,309.69,0,0
ENQ-00246,2025-11-08,Bukit Merah,Walk-in,Large,SME,422.69,0,0
ENQ-00247,2025-07-18,Simpang,Meta Ads,Locker,SME,94.01,1,0
ENQ-00248,2025-03-09,Tuas,Google Search,Small,SME,177.53,0,0
ENQ-00249,2025-06-08,Changi Bay,Google Search,Medium,Household,261.57,0,0
ENQ-00250,2025-08-14,Newton,Partner,Small,SME,165.43,0,0
ENQ-00251,2025-03-19,Punggol,Google Search,Medium,Household,273.02,0,0
ENQ-00252,2025-04-18,Lim Chu Kang,Meta Ads,Medium,Relocation,322.9,0,0
ENQ-00253,2025-03-09,Novena,Meta Ads,Large,Relocation,526.83,0,0
ENQ-00254,2025-10-01,Tanglin,Partner,Medium,Household,332.14,0,0
ENQ-00255,2025-09-30,Museum,Walk-in,Large,SME,501.09,1,0
ENQ-00256,2025-04-04,Orchard,Google Search,Medium,SME,301.97,0,0
ENQ-00257,2025-03-15,Downtown Core,Referral,Medium,Household,319.34,1,0
ENQ-00258,2025-11-18,Tuas,Google Search,Small,E-commerce,173.06,0,0
ENQ-00259,2025-01-10,Seletar,Walk-in,Large,Household,523.81,0,0
ENQ-00260,2025-08-29,Choa Chu Kang,Google Search,Medium,Household,265.18,0,0
ENQ-00261,2025-10-01,Pasir Ris,Referral,Large,Household,461.79,0,0
ENQ-00262,2025-12-31,Toa Payoh,Meta Ads,Large,Household,500.45,0,0
ENQ-00263,2025-12-20,Serangoon,Organic,Medium,Household,313.14,0,0
ENQ-00264,2025-10-09,Jurong East,Organic,Medium,Household,326.52,0,0
ENQ-00265,2025-05-12,Kallang,Referral,Medium,Student/Expats,275.82,1,0
ENQ-00266,2025-04-13,North-Eastern Islands,Organic,Locker,SME,87.64,0,0
ENQ-00267,2025-10-07,Changi Bay,Meta Ads,Medium,Household,317.11,0,0
ENQ-00268,2025-06-30,Museum,Google Search,Small,Household,167.75,0,1
ENQ-00269,2025-12-23,Bukit Panjang,Google Search,Medium,Household,261.73,0,0
ENQ-00270,2025-10-30,Serangoon,Meta Ads,Small,Household,190.83,0,0
ENQ-00271,2025-01-30,Western Water Catchment,Meta Ads,Small,E-commerce,170.17,0,0
ENQ-00272,2025-02-08,Marina East,Referral,Small,E-commerce,168.73,0,0
ENQ-00273,2025-07-21,Mandai,Referral,Locker,Household,87.05,0,0
ENQ-00274,2025-11-20,Pasir Ris,Google Search,Large,SME,478.41,0,0
ENQ-00275,2025-10-19,Bukit Timah,Google Search,Large,Household,434.72,1,0
ENQ-00276,2025-06-16,Changi Bay,Google Search,Medium,Household,264.76,1,0
ENQ-00277,2025-11-04,Sembawang,Meta Ads,Locker,Household,96.1,0,0
ENQ-00278,2025-09-28,Pasir Ris,Walk-in,Small,Household,162.72,0,0
ENQ-00279,2025-11-10,Kallang,Google Search,Medium,Student/Expats,301.53,0,0
ENQ-00280,2025-06-17,Newton,Meta Ads,Locker,SME,100.41,0,0
ENQ-00281,2025-05-27,Marina South,Meta Ads,Small,Household,169.08,0,0
ENQ-00282,2025-11-09,Serangoon,Partner,Medium,Household,302.45,0,0
ENQ-00283,2025-11-24,Punggol,Organic,Locker,SME,87.9,0,0
ENQ-00284,2025-01-05,Newton,Google Search,Medium,Household,317.82,0,0
ENQ-00285,2025-08-02,Queenstown,Organic,Small,Household,204.5,0,0
ENQ-00286,2025-08-03,Marine Parade,Meta Ads,Small,Household,166.56,0,0
ENQ-00287,2025-12-27,Geylang,Referral,Large,Household,434.63,0,0
ENQ-00288,2025-03-23,Sungei Kadut,Organic,Medium,Household,289.83,0,0
ENQ-00289,2025-10-18,Tanglin,Partner,Small,Household,205.58,0,0
ENQ-00290,2025-08-18,Outram,Meta Ads,Locker,Household,91.31,1,0
ENQ-00291,2025-10-17,Tengah,Referral,Medium,Household,293.67,0,0
ENQ-00292,2025-02-28,Marina East,Walk-in,Medium,Student/Expats,268.68,1,0
ENQ-00293,2025-02-17,Serangoon,Partner,Locker,E-commerce,89.4,1,0
ENQ-00294,2025-03-09,Seletar,Walk-in,Large,SME,439.36,0,0
ENQ-00295,2025-10-15,Orchard,Referral,Small,SME,195.43,0,0
ENQ-00296,2025-05-07,Sengkang,Meta Ads,Medium,Student/Expats,298.17,0,0
ENQ-00297,2025-09-30,Yishun,Meta Ads,Medium,SME,275.79,0,0
ENQ-00298,2025-02-16,Changi Bay,Google Search,Locker,Household,82.74,0,0
ENQ-00299,2025-11-14,Western Water Catchment,Google Search,Medium,SME,329.98,0,0
ENQ-00300,2025-06-13,Queenstown,Google Search,Large,SME,484.93,0,0
ENQ-00301,2025-09-21,Changi,Walk-in,Locker,Household,94.15,0,0
ENQ-00302,2025-12-19,Yishun,Meta Ads,Large,SME,466.25,0,0
ENQ-00303,2025-06-17,Southern Islands,Walk-in,Small,SME,164.88,0,0
ENQ-00304,2025-07-05,Hougang,Referral,Locker,Household,82.26,0,0
ENQ-00305,2025-05-09,Marine Parade,Partner,Medium,Household,279.87,1,0
ENQ-00306,2025-07-21,Bukit Merah,Meta Ads,Large,E-commerce,509.05,0,0
ENQ-00307,2025-07-15,Ang Mo Kio,Referral,Large,Household,443.31,0,0
ENQ-00308,2025-06-02,Tampines,Meta Ads,Medium,Household,318.01,0,0
ENQ-00309,2025-12-02,Pioneer,Organic,Medium,Household,301.12,0,0
ENQ-00310,2025-03-28,Bukit Merah,Meta Ads,Medium,Student/Expats,292.84,0,0
ENQ-00311,2025-03-28,Straits View,Google Search,Locker,SME,83.64,1,1
ENQ-00312,2025-05-14,Bedok,Referral,Medium,Household,286.03,0,0
ENQ-00313,2025-05-02,Bukit Timah,Google Search,Small,Household,185.37,0,0
ENQ-00314,2025-09-03,Changi Bay,Meta Ads,Small,Household,187.74,0,0
ENQ-00315,2025-01-19,Newton,Meta Ads,Medium,Household,275.77,0,0
ENQ-00316,2025-04-03,Ang Mo Kio,Partner,Small,Household,167.27,0,0
ENQ-00317,2025-01-17,Toa Payoh,Walk-in,Small,Household,171.19,0,0
ENQ-00318,2025-03-03,Central Water Catchment,Referral,Medium,Household,301.65,0,0
ENQ-00319,2025-01-25,Novena,Meta Ads,Medium,SME,294.72,0,0
ENQ-00320,2025-04-28,Simpang,Google Search,Medium,Household,322.99,0,0
ENQ-00321,2025-01-30,Tengah,Organic,Medium,Household,276.08,1,0
ENQ-00322,2025-07-04,Changi Bay,Referral,Medium,Student/Expats,332.17,0,0
ENQ-00323,2025-01-20,Marine Parade,Organic,Large,SME,439.31,0,0
ENQ-00324,2025-03-01,Bukit Batok,Meta Ads,Medium,SME,261.61,0,0
ENQ-00325,2025-12-14,Central Water Catchment,Google Search,Medium,Household,264.53,0,0
ENQ-00326,2025-11-14,Straits View,Google Search,Medium,SME,309.66,0,0
ENQ-00327,2025-04-02,Choa Chu Kang,Meta Ads,Small,Student/Expats,202.87,0,0
ENQ-00328,2025-10-19,Toa Payoh,Meta Ads,Medium,SME,283.25,0,0
ENQ-00329,2025-01-08,Novena,Partner,Medium,Household,323.46,0,0
ENQ-00330,2025-07-26,Hougang,Google Search,Medium,SME,293.18,0,0
ENQ-00331,2025-03-03,Central Water Catchment,Walk-in,Medium,Household,307.14,0,0
ENQ-00332,2025-04-20,Yishun,Google Search,Small,SME,191.79,0,0
